risk gene,clearance gene,correlation,t
coeff4,coeff18,0.372914943769049,392
coeff13,coeff18,0.37305187134556,388
coeff32,coeff18,0.373081169620629,460
coeff11,coeff18,0.373081558402669,470
coeff14,coeff18,0.373092665553573,454
coeff41,coeff18,0.373109858665922,422
coeff38,coeff28,0.373225730682379,401
coeff38,coeff18,0.373312222870277,485
coeff20,coeff18,0.373356905506895,467
coeff35,coeff18,0.373544193610642,496
coeff29,coeff28,0.373588352024826,415
coeff13,coeff21,0.373623787265637,566
coeff19,coeff16,0.373624807009801,979
coeff4,coeff26,0.373670185020375,662
coeff13,coeff28,0.373744687412479,561
coeff31,coeff25,0.375971140359901,580
coeff2,coeff37,0.3770862509327,762
coeff30,coeff16,0.377181754844973,970
coeff33,coeff28,0.378064652085243,376
coeff41,coeff16,0.37831521378352,1152
coeff27,coeff1,0.378637655997343,770
coeff17,coeff8,0.379568979096455,595
coeff38,coeff15,0.380094452852735,10000
coeff26,coeff19,0.381097442650588,277
coeff25,coeff28,0.381575550086642,357
coeff16,coeff12,0.381702791457911,240
coeff16,coeff32,0.382379663981277,509
coeff19,coeff25,0.382737188308487,642
coeff21,coeff16,0.382745888788068,710
coeff22,coeff21,0.384659101683154,362
coeff13,coeff15,0.384773838572418,10000
coeff19,coeff26,0.386449620713511,380
coeff36,coeff26,0.387367924309548,453
coeff34,coeff16,0.392264815240497,732
coeff38,coeff8,0.39410872325626,620
coeff11,coeff15,0.394823438960427,8599
coeff8,coeff16,0.394989804323985,633
coeff7,coeff5,0.396237634311157,959
coeff37,coeff26,0.396513970192935,386
coeff4,coeff16,0.396971121001691,600
coeff36,coeff21,0.397524871032988,404
coeff3,coeff17,0.398592718336331,312
coeff5,coeff16,0.398724929541151,912
coeff4,coeff25,0.398831241596771,531
coeff18,coeff21,0.39902341489629,483
coeff28,coeff26,0.40302429171039,372
coeff26,coeff21,0.403918129852274,407
coeff3,coeff16,0.404614508214612,686
coeff3,coeff15,0.405013035751855,342
coeff7,coeff15,0.405667498035773,2691
coeff39,coeff16,0.4064166517451,553
coeff10,coeff41,0.406697942060707,2468
coeff17,coeff26,0.406818200014687,424
coeff32,coeff16,0.407889114092164,579
coeff25,coeff21,0.407983042848986,360
coeff15,coeff28,0.407993480413062,415
coeff6,coeff16,0.408128595242849,653
coeff2,coeff18,0.409747066183619,273
coeff20,coeff30,0.410096145420917,381
coeff2,coeff6,0.411566127622478,658
coeff13,coeff16,0.411815923987165,788
coeff1,coeff6,0.411913175462894,594
coeff23,coeff30,0.413219528245298,412
coeff3,coeff32,0.413238372573969,555
coeff27,coeff15,0.413307594515149,420
coeff14,coeff21,0.413389858546205,335
coeff16,coeff6,0.414076589524999,566
coeff29,coeff16,0.41420775259852,513
coeff23,coeff6,0.414757166796031,695
coeff35,coeff16,0.41477325124267,633
coeff11,coeff21,0.415506929628679,352
coeff20,coeff6,0.415829158175724,683
coeff19,coeff6,0.416084196640883,620
coeff8,coeff26,0.416280702473404,342
coeff41,coeff12,0.417127108146476,273
coeff37,coeff21,0.417399554202284,347
coeff8,coeff6,0.417712928324208,544
coeff37,coeff12,0.417723667152568,263
coeff36,coeff6,0.417932590371052,666
coeff7,coeff21,0.418144932169358,306
coeff4,coeff21,0.418241683966931,314
coeff25,coeff6,0.418650061954162,601
coeff31,coeff21,0.418692925066475,352
coeff39,coeff21,0.418801926341847,385
coeff3,coeff28,0.418846609468294,305
coeff34,coeff6,0.418974714908189,584
coeff17,coeff6,0.41955032493689,669
coeff19,coeff21,0.419698616577231,354
coeff16,coeff18,0.419769201227169,293
coeff16,coeff30,0.420063624430741,387
coeff40,coeff21,0.420064944019203,431
coeff26,coeff16,0.420192967015987,548
coeff8,coeff28,0.420325040618998,309
coeff30,coeff6,0.420493383054277,682
coeff40,coeff6,0.420988770904302,712
coeff40,coeff12,0.421019479973367,313
coeff24,coeff21,0.421229334874559,378
coeff33,coeff6,0.421245907809752,589
coeff24,coeff6,0.421464660045808,681
coeff27,coeff6,0.421472396477775,726
coeff9,coeff6,0.421989538568856,550
coeff29,coeff21,0.42226890017721,349
coeff31,coeff26,0.422279994066779,386
coeff23,coeff21,0.422539663012635,371
coeff19,coeff12,0.422719831719213,283
coeff15,coeff6,0.422733484956981,712
coeff33,coeff21,0.422919881125227,368
